我在 2011 年成为《法律与秩序》剧迷。 我当时正从中风中康复。 回家后，我尽量每一集都会追。 在 20 年内连续刷同一部剧是件难事。
大家都喜欢鲍勃，因为他在电影内扮演着一个备受青睐的角色。 鲍勃讨厌它，因为他一点也不像那个角色。 吉姆叫鲍勃说出他的角色的口头禅。 对鲍勃来说，这简直是强人所难，于是他勃然大怒。
米娅从未尝试过沙拉三明治。 她不认为她会喜欢。 但是，她的朋友们劝她试一试。 她意识到它很美味！
当我女儿上幼儿园时我很无聊。 如果有个老师生病了的话，我就开始在她的学校代课。 我开始对为何有些孩子经历着严重的学习问题而感兴趣。 这致使我上了一大堆关于特殊教育的课。
加里总是带午餐上班。 今天加里找不到他的午餐盒了。 他觉得他就在上班时从售货机里买点什么好了。 当加里吃午餐时，他发觉售货机坏掉了。
杰克正试图入睡。 他明天有一场很重要的考试。 他整夜都在床上辗转反侧。 他努力地喝下了一整大瓶温牛奶。
有一天，我当时正在公园里散步。 我注意到一个男人独自坐着。 我走向前去询问他怎么样。 他告诉我他病得很重还很伤心。
乔对爱因斯坦的广义相对论很感兴趣。 他看了好几部关于爱因斯坦的纪录片。 然后，他读了一本有关于相对论的书。 乔从爱因斯坦的科学成就中学到了很多东西。
邦妮需要一份新工作。 她检索了报纸的就业版块。 她找到了一份保姆工作的清单。 她拨通了所列号码以获得一场面试。
艾米当时和她的朋友们正在后院玩。 突然间她看到一条小蛇爬过她的胳膊！ 她尖叫着跑了，但蛇还是咬了她的手！ 艾米很惊恐并马上叫了救护车。
杰瑞告诉他所有的朋友他正在跑马拉松。 有一些人赞助他。 他从来没有真正为此做好准备。 跑的那一天他惊慌失措。
戴夫喜欢户外活动。 有一天他决定去徒步。 当他在步道上行走的时候，他听到了一阵咝咝的响声。 在他右边的地上有一条响尾蛇！
洛根总是喜欢呆在户外。 有一天，洛根和他的狗在外面玩耍时，被一只蜜蜂蜇了。 他痛得哭了起来并跑回了家里。 洛根的母亲在蜂蛰处放了冰块直到刺痛的感觉好些。
斯基普在学校的成绩越来越差。 他的父母考虑给他找个家庭教师。 然而，他们注意到斯基普经常眯眼。 他们发觉他需要一副眼镜而不是一个家庭教师。
雷一家坐下来吃周日午餐。 雷的兄弟不小心打翻了他的饮料。 雷的继父大喊大叫并把他的盘子扔过房间。 雷看着盘子摔碎成上百万块。
吉娜和她的朋友丽莎当时正在车库里听音乐。 吉娜希望她的其他朋友们也能来加入她们。 她给他们打了电话，但无人接听。 女孩们决定跳舞来治愈她们的厌倦感。
孩子们对圣诞节非常兴奋。 他们一整年都表现得很好。 他们写信给了圣诞老人。 圣诞老人写了回信。
我觉得自己生病了。 我预约了去看医生。 我去看了医生。 他做了一些检查。
克里斯蒂安的学校开始了足球选拔赛。 克里斯蒂安决定试试加入球队。 他每天都在练习。 他尝试加入球队。
提姆和吉娜都讨厌洗碗。 他们会每周轮换一次来洗碗。 上周吉娜没能完成她的任务。 她工作时间比以往要长。
蒂米问妈妈要一只宠物。 她告诉他，她负担不起给他买宠物的钱。 蒂米很伤心，但他理解妈妈说的话。 第二天，蒂米在小溪里找到了一只乌龟。
珍把自己的猫咪李带到了兽医那儿做体检。 兽医麦克在李的身上找到了三只跳蚤。 麦克医生建议珍做一次杀跳蚤的药浴。 珍拒绝了，因为她不想让李浸泡在化学药品中。
米什收到短信，说她现在可以走了。 很快，她就拿着钥匙，冲向了自己的轿车。 她知道自己时间有限，所以她开得很快。 赶到火车站时，她看了看自己的手表。
吉娜在她爸爸的车里找自己的手机。 她确定手机会在这里。 但四处翻找后，她还是没找到手机。 她跑回家，拿上了一只手电筒。
莎拉约了一场工作岗位面试。 她穿上了自己最好的西装裙套装，前去面试。 坐下来进行面试时，莎拉发现她的长袜破了一条长长的抽丝。 她注意力都在这点瑕疵上了，回复时几乎嘟哝不清。
琳达和她的男朋友很饿。 她想吃塔可。 他想吃鱼。 他们都很强势，无法决定俩人到底要吃什么。
莫里斯给自己买了一块滑板来保持活力。 他把滑板带到了公园，玩了一天滑板。 他注意到，自己比那里的其他人都年长很多。 然而，他们都很欢迎他，似乎并不在意他的年纪。
罗恩喜欢喝许多啤酒。 他的父母都是酒精成瘾者。 罗恩下定决心，如果自己不再饮酒就最好不过了。 6 个月之后，他终于戒了酒。
简想留长发。 所以她蓄了好几个月的头发。 但护理头发变得很难。 而且到了夏天，长发让她更热了。
艾利克斯在明亮的阳光中醒来。 她看了看自己的闹钟。 她意识到自己一定是睡过了！ 艾利克斯从床上跳了下来。
我正在一个新地方和朋友们吃午饭。 我要了一杯可乐。 他们告诉我，他们只有百事产品。 他们问我能否接受。
卡尔住在佛罗里达，享受着待在家的一天。 他正在看电视，突然警报响起。 警报警告居民们，可能会发生海啸。 卡尔很害怕，开始疏散。
我们今天醒来时，外面下起了小雪。 学校今天放假，我们都很激动。 每个人都跑到雪地里玩耍。 我们堆了一个雪人，用胡萝卜给他当鼻子。
有只松鼠到访了乔的后院。 它离乔只有几英尺远，然后就快速跑开了。 乔想吸引它取走自己手里的花生。 有一天，松鼠终于做到了。
阿诺德买了一台新电视。 他付的现金。 几周后，电视坏了。 他想退货，但他弄丢了收据。
埃里克刚满 21 岁。 但他已经有酗酒问题了。 埃里克醒来，就喊着去最近的酒吧。 他半睡半醒地钻进车里，前往酒吧。
爱丽在一家新俱乐部里拼命跳舞。 突然，她意识到自己感受到了一阵不同寻常的微风。 她裤子的后缝线已经完全裂开了。 她赶紧离开了舞池。
前几天，我下班开车回家时爆胎了。 天下着雨，又很冷。 我本来可以打电话给拖车公司的，但我没这么做。 而是自己换了轮胎。
我发现我的鞋子很硬，很不舒服。 我出去买了几双新鞋。 我试图花时间磨合它们。 但我仍然觉得它们太硬了。
马库斯刚开始上第一节飞行课。 他正在学习驾驶小型通勤飞机。 把飞机开到半空中让他非常紧张。 他的教练帮他从机场起飞。
拉里决定帮他的朋友准备派对。 他需要带一份沙拉去派对。 拉里切了番茄，生菜和其他蔬菜来准备沙拉。 做完后，他觉得很棒。
莎拉以前从没坐过船。 今天，她妈妈带她去了码头，她第一次坐了船。 莎拉非常激动。 她登上船，听着引擎轰鸣。
尼尔想在伦敦之行中参观历史名胜。 他乘巴士游览，去了一家古老的监狱。 监狱名为伦敦塔。 尼尔了解了这座令人印象深刻的监狱的历史。
我给妻子的 iPhone 买了一个备份硬盘。 她手机的储存空间用尽了。 她的手机中有 1200 张照片。 我试图将她的照片备份到硬盘里，但是失败了。
道格的妻子对他很生气。 为了求得原谅，他决定给她买一块新的汽车电池。 他换了电池，确保她的车能正常运行。 她对这个姿态表示欣赏。
格蕾丝总是喜欢捉弄老师。 她最喜欢的恶作剧就是把老师所有的粉笔都藏起来。 有一天，她正在藏粉笔，老师逮到了格蕾丝。 她被停课两周。
简的妈妈会做非常棒的苹果派。 简总是想要食谱，但她妈妈不会给她。 有一年圣诞，她再次问妈妈要食谱。 简的妈妈决定将食谱给她。
马克打开了餐馆的后门并走了出去。 这是一天中倒垃圾的时间。 去垃圾箱的半道上，他看到了许多鸟儿正在吃垃圾。 他从前饿过肚子，所以他知道所有东西都得进食。
昨晚，我们想订一张披萨。 我们中有一半人想要意大利辣香肠。 另一半人想要香肠。 我做出了决定。
西蒙注意到隔壁家门口有一辆搬家卡车。 搬进来的一家有一个青春期的女儿，西蒙对她一见钟情了。 他鼓起勇气上前自我介绍。 她很害羞，但也很友善，愿意倾听。这鼓励了他。
强尼在当地的少年棒球联合会的赛队里。 某个周六，他所在的队伍有一场非常重要的比赛。 他的父母可以出席。 强尼所在的队伍赢了比赛。
本上课迟到了。 老师吼了他。 他第二天上课迟到了。 老师给他的父母写了一份通知。
艾丽希望男友给她挑一只漂亮的戒指。 她把珠宝店的传单留在了橱柜台上。 接着，她在杂志上圈出了好些戒指。 她甚至在打电话时大声提到戒指。
我昨天非常激动，亚瑟小子发新歌了。 我马上就买了下来。 听歌的时候，我彻底沉醉了。 我马上将它存进了手机。
有一支新乐队希望自己的歌能快速走红。 他们贿赂了几位电台 DJ，让他们在同一时间一起播放乐队的歌。 当人们调频听广播时，所有电台都在放同一首歌。 他们一夜之间就取得了巨大的成功。
安妮是她班上最优秀的体操运动员。 她包揽了许多奖项，参加过许多比赛。 有一天，比赛结束后，她想起了还没做的作业。 她的老师不会让她交作业的。
帕特丽夏一看显微镜，就被迷住了。 她无法相信还有这样一个她看不见的世界。 马上，她就知道自己要成为一名生物学家。 接下来的 8 年里，她在学校和大学里学习科学。
莉莉从来没有真正享受过运动。 整个夏天，她都和家人一起观看女子世界杯。 她大受鼓舞，决心加入足球队。 球队已经开始踢了一段时间了，她落后了。
玛丽斯去参加了拍卖会，寻找一些物品。 在签到桌，他们要求她出示信用卡。 她拿出了一些现金作为替代，并用这当成押金。 她竞拍了几个储物柜，成功了两个。
有一年，杰西卡去参加夏令营。 她度过了一段美好的时光。 第二年，她年纪太大了，不能参加夏令营。 但是，她到了可以在那里工作的年纪。
吉娜终于从老师手里拿回了她的手机。 他把它收走了 2 天。 她妈妈已经开始怀疑了。 现在，她可以保住“手机曾被收走”这个秘密了。
梅格找不到自己最喜欢的金耳环了。 她开始怀疑新女佣把它们偷走了！ 她的丈夫劝她再仔细在家找找。 梅格意识到它们无意间被吸尘器吸走了！
玛希很在意孩子们的情况。 她一直在厨房里，已经好一会儿没听到他们的声音了。 一般来说，如果孩子们安安静静的，他们是对什么事儿产生了兴趣。 玛希往卧室看了看，没看到他们。
奥日的妈妈送他去市场。 她告诫他要记得买褐壳鸡蛋。 但奥日在市场上没找到这种鸡蛋。 他不得不去找了三家不同的商店。
圣诞前一周，艾比和家人聚到了一起。 他们戴着圣诞帽去了当地一家疗养院。 他们唱着圣诞颂歌，探访了一间又一间病房。 有的病人和他们合唱起来。
麦琪和同学去了一家动物园做实地考察旅行。 他们先是看到了猴子，大猩猩和熊猫。 随后，他们又看到了蛇和蜥蜴！ 他们甚至还喂了一些动物宝宝。
